"","orderId","clientId","product","sex","orderdate"
"1",1,254,"a","female",2012-03-25
"2",1,254,"b","female",2012-03-25
"3",1,254,"c","female",2012-03-25
"4",1,254,"b","female",2012-03-25
"5",2,151,"a","female",2012-01-28
"6",2,151,"b","female",2012-01-28
"8",2,151,"a","female",2012-01-28
"9",2,151,"c","female",2012-01-28
"10",3,118,"c","female",2012-02-10
"11",3,118,"a","female",2012-02-10
"12",3,118,"a","female",2012-02-10
"14",3,118,"a","female",2012-02-10
"15",3,118,"a","female",2012-02-10
"16",4,202,"a","female",2012-02-29
"17",4,202,"a","female",2012-02-29
"19",4,202,"b","female",2012-02-29
"20",5,167,"a","female",2012-01-28
"21",5,167,"a","female",2012-01-28
"22",5,167,"a","female",2012-01-28
"23",5,167,"c","female",2012-01-28
"24",5,167,"b","female",2012-01-28
"25",5,167,"a","female",2012-01-28
"26",5,167,"a","female",2012-01-28
"27",6,93,"a","female",2012-01-08
"28",6,93,"b","female",2012-01-08
"29",7,251,"b","female",2012-02-07
"30",7,251,"b","female",2012-02-07
"32",7,251,"a","female",2012-02-07
"33",7,251,"c","female",2012-02-07
"34",7,251,"a","female",2012-02-07
"35",7,251,"a","female",2012-02-07
"36",8,191,"b","female",2012-02-13
"38",8,191,"c","female",2012-02-13
"39",8,191,"a","female",2012-02-13
"40",8,191,"a","female",2012-02-13
"41",9,173,"b","female",2012-03-13
"43",9,173,"a","female",2012-03-13
"44",9,173,"a","female",2012-03-13
"45",9,173,"a","female",2012-03-13
"46",9,173,"a","female",2012-03-13
"48",9,173,"a","female",2012-03-13
"49",10,265,"c","female",2012-01-20
"50",10,265,"a","female",2012-01-20
"51",10,265,"b","female",2012-01-20
"52",10,265,"a","female",2012-01-20
"53",10,265,"a","female",2012-01-20
"54",10,265,"b","female",2012-01-20
"55",10,265,"a","female",2012-01-20
"56",11,104,"b","male",2012-01-07
"57",11,104,"c","male",2012-01-07
"59",11,104,"c","male",2012-01-07
"60",11,104,"a","male",2012-01-07
"61",12,24,"a","female",2012-01-10
"62",12,24,"b","female",2012-01-10
"63",12,24,"a","female",2012-01-10
"64",12,24,"a","female",2012-01-10
"65",13,134,"b","female",2012-02-01
"66",13,134,"a","female",2012-02-01
"67",13,134,"c","female",2012-02-01
"68",13,134,"a","female",2012-02-01
"69",13,134,"a","female",2012-02-01
"72",14,127,"c","female",2012-02-25
"73",14,127,"a","female",2012-02-25
"74",14,127,"a","female",2012-02-25
"75",14,127,"a","female",2012-02-25
"76",14,127,"a","female",2012-02-25
"77",14,127,"a","female",2012-02-25
"78",14,127,"a","female",2012-02-25
"79",15,49,"c","female",2012-02-15
"80",15,49,"a","female",2012-02-15
"81",15,49,"c","female",2012-02-15
"83",16,270,"a","female",2012-02-13
"84",16,270,"b","female",2012-02-13
"85",16,270,"a","female",2012-02-13
"86",16,270,"a","female",2012-02-13
"87",16,270,"a","female",2012-02-13
"90",17,76,"a","male",2012-02-18
"91",17,76,"a","male",2012-02-18
"94",19,181,"a","male",2012-02-02
"95",19,181,"a","male",2012-02-02
"96",19,181,"b","male",2012-02-02
"97",20,206,"a","female",2012-02-02
"98",20,206,"a","female",2012-02-02
"99",20,206,"c","female",2012-02-02
"101",20,206,"a","female",2012-02-02
"102",20,206,"b","female",2012-02-02
"103",20,206,"a","female",2012-02-02
"104",21,73,"c","female",2012-02-07
"105",21,73,"a","female",2012-02-07
"107",21,73,"a","female",2012-02-07
"108",21,73,"a","female",2012-02-07
"109",21,73,"b","female",2012-02-07
"110",22,1,"a","male",2012-01-22
"111",23,175,"b","male",2012-01-28
"112",23,175,"b","male",2012-01-28
"113",23,175,"c","male",2012-01-28
"114",23,175,"a","male",2012-01-28
"115",23,175,"a","male",2012-01-28
"116",23,175,"a","male",2012-01-28
"117",23,175,"a","male",2012-01-28
"119",24,254,"a","female",2012-02-04
"120",24,254,"a","female",2012-02-04
"122",24,254,"b","female",2012-02-04
"123",24,254,"a","female",2012-02-04
"124",24,254,"a","female",2012-02-04
"125",24,254,"b","female",2012-02-04
