"","clientId","sex","orderdate","cart"
"1",1,"male",2012-01-22,"a"
"2",1,"male",2012-02-14,"a"
"3",1,"male",2012-03-08,"a;b"
"4",1,"male",2012-03-14,"a;b"
"5",2,"female",2012-02-11,"a;c"
"6",2,"female",2012-03-08,"a;b"
"7",2,"female",2012-03-11,"a;b"
"8",3,"female",2012-01-17,"a;c"
"9",3,"female",2012-02-06,"a;b;c"
"10",3,"female",2012-03-04,"a;b"
"11",3,"female",2012-03-24,"a;c"
"12",4,"female",2012-01-05,"a;c"
"13",4,"female",2012-02-01,"a;c"
"14",4,"female",2012-02-12,"a"
"15",4,"female",2012-02-25,"a;b"
"16",5,"male",2012-01-30,"a;b"
"17",5,"male",2012-02-03,"c"
"18",5,"male",2012-02-13,"a;c"
"19",6,"female",2012-01-20,"a;b"
"20",6,"female",2012-02-17,"a;b"
"21",6,"female",2012-02-22,"a;b;c"
"22",6,"female",2012-03-20,"a;b"
"23",7,"female",2012-01-06,"a;b"
"24",7,"female",2012-01-26,"a;b"
"25",8,"male",2012-01-29,"a;b"
"26",8,"male",2012-02-03,"b"
"27",8,"male",2012-02-13,"a;b;c"
"28",8,"male",2012-03-20,"a;c"
"29",9,"male",2012-01-10,"a;b;c"
"30",9,"male",2012-01-30,"a;b;c"
"31",9,"male",2012-03-07,"a;b"
"32",10,"male",2012-01-24,"a"
"33",10,"male",2012-03-11,"a;c"
"34",10,"male",2012-03-31,"b"
"35",11,"male",2012-01-22,"a"
"36",11,"male",2012-01-29,"a;b;c"
"37",11,"male",2012-02-20,"a;b"
"38",11,"male",2012-03-06,"a"
"39",11,"male",2012-03-12,"a;b"
"40",12,"male",2012-01-22,"a;b"
"41",12,"male",2012-02-10,"a;b;c"
"42",12,"male",2012-02-23,"a;b;c"
"43",13,"male",2012-01-10,"a"
"44",13,"male",2012-01-20,"a"
"45",13,"male",2012-03-17,"a"
"46",14,"male",2012-01-18,"a;b"
"47",14,"male",2012-02-02,"a;b"
"48",14,"male",2012-02-14,"a;b;c"
"49",14,"male",2012-02-21,"a;b;c"
"50",14,"male",2012-03-06,"a;b"
"51",14,"male",2012-03-23,"a"
"52",15,"male",2012-02-05,"a"
"53",15,"male",2012-03-14,"a"
"54",16,"male",2012-01-28,"a;b;c"
"55",16,"male",2012-02-12,"a;c"
"56",16,"male",2012-03-11,"a"
"57",17,"female",2012-02-04,"a;b"
"58",17,"female",2012-02-20,"a;b"
"59",17,"female",2012-03-15,"a;b;c"
"60",17,"female",2012-03-29,"a;b;c"
"61",18,"male",2012-01-16,"a;b"
"62",18,"male",2012-03-10,"a;b;c"
"63",18,"male",2012-03-25,"a;b;c"
"64",19,"female",2012-02-15,"a;b;c"
"65",19,"female",2012-03-31,"a;b"
"66",20,"male",2012-01-20,"a;b"
"67",20,"male",2012-02-07,"a;b;c"
"68",20,"male",2012-03-29,"a;b;c"
"69",22,"female",2012-03-29,"a;c"
"70",23,"female",2012-01-02,"a;b"
"71",23,"female",2012-02-24,"a;b;c"
"72",23,"female",2012-03-07,"a;b"
"73",23,"female",2012-03-12,"a;b"
"74",24,"female",2012-01-06,"a;b;c"
"75",24,"female",2012-01-10,"a;b"
"76",24,"female",2012-03-09,"a;b;c"
"77",25,"male",2012-02-03,"b;c"
"78",25,"male",2012-03-06,"a;b"
"79",25,"male",2012-03-11,"b"
"80",26,"female",2012-01-09,"a;b;c"
"81",26,"female",2012-01-23,"a;b;c"
"82",26,"female",2012-01-29,"a;c"
"83",26,"female",2012-02-05,"a;b"
"84",26,"female",2012-03-10,"a;b;c"
"85",27,"female",2012-01-25,"a"
